INS 1 INS 2 INS 3 INS 4 INS 5 
INS 6 INS 7 INS 8 INS 9 INS 0 
INS a INS b INS c INS d INS e 
INS f INS g INS h INS i INS j 
INS k INS l INS m INS n INS o 
INS p INS q INS r INS s INS t 
INS u INS v INS w INS x INS y 
INS z INS A INS B INS C INS D 
INS E INS F INS G INS H INS I 
INS J INS K INS L INS M INS N 
INS O INS P INS Q INS R INS S
INS T INS U INS V INS W INS X
INS Y INS Z INS ? 
INS 1 INS 2 INS 3 INS 4 INS 5 
INS 6 INS 7 INS 8 INS 9 INS 0 
INS a INS b INS c INS d INS e 
INS f INS g INS h INS i INS j 
INS k INS l INS m INS n INS o 
INS p INS q INS r INS s INS t 
INS u INS v INS w INS x INS y 
INS z INS A INS B INS C INS D 
INS E INS F INS G INS H INS I 
INS J INS K INS L INS M INS N 
INS O INS P INS Q INS R INS S
INS T INS U INS V INS W INS X
INS Y INS Z INS ? EOI
